attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,epss_score,exploit_maturity,days_since_published,severity
network,low,low,none,changed,none,high,high,0.0336,poc,407,high
network,low,low,required,changed,none,none,none,0.1132,unproven,21,low
network,low,low,required,changed,high,none,low,0.0604,unproven,316,high
network,low,none,none,unchanged,none,low,high,0.0351,unproven,285,high
network,low,none,none,changed,none,low,none,0.0883,poc,626,medium
network,low,low,required,unchanged,high,low,high,0.0285,unproven,250,high
network,high,high,none,unchanged,high,none,low,0.0526,unproven,166,medium
local,low,none,required,changed,none,low,high,0.159,unproven,220,high
network,low,high,required,unchanged,low,low,low,0.0453,unproven,499,medium
network,high,low,none,unchanged,none,high,high,0.0602,unproven,57,high
adjacent,low,low,required,unchanged,high,none,none,0.036,functional,106,medium
adjacent,low,low,required,unchanged,none,low,none,0.0746,poc,495,low
network,low,none,none,unchanged,low,high,high,0.1944,unproven,499,high
network,low,low,none,unchanged,low,low,low,0.0092,unproven,516,medium
adjacent,low,low,required,unchanged,low,low,low,0.077,poc,127,medium
network,low,high,required,unchanged,high,low,high,0.1181,unproven,132,medium
local,low,low,required,changed,none,high,high,0.1653,functional,150,high
local,low,low,required,unchanged,high,high,low,0.1287,unproven,507,medium
local,low,low,none,unchanged,high,high,low,0.1531,functional,230,high
network,high,low,none,unchanged,none,high,high,0.1855,poc,8,medium
local,low,low,none,unchanged,none,none,high,0.3969,functional,369,medium
local,low,low,none,changed,none,high,none,0.1074,poc,368,medium
network,high,none,required,unchanged,high,high,none,0.0568,functional,53,medium
network,low,none,none,unchanged,none,low,high,0.0382,unproven,474,high
network,high,none,none,unchanged,none,none,high,0.107,poc,321,medium
network,low,low,none,unchanged,none,low,none,0.0421,poc,527,medium
network,low,high,none,unchanged,high,high,high,0.0585,unproven,179,high
network,low,high,none,unchanged,low,low,high,0.1872,poc,65,medium
network,low,high,none,unchanged,high,low,high,0.0783,functional,334,medium
network,low,low,none,unchanged,high,high,low,0.0574,poc,64,high
adjacent,low,none,required,unchanged,high,none,low,0.0323,functional,69,medium
network,low,low,none,unchanged,none,low,none,0.0787,unproven,193,medium
network,low,none,none,changed,low,high,none,0.0308,poc,98,critical
local,low,none,required,unchanged,high,high,none,0.0841,unproven,74,medium
network,low,low,none,unchanged,low,high,low,0.0601,unproven,738,high
local,low,low,none,unchanged,none,low,low,0.142,poc,104,medium
adjacent,low,low,none,unchanged,low,none,low,0.026,poc,328,medium
adjacent,low,low,required,unchanged,low,high,none,0.1379,poc,41,medium
network,low,none,none,unchanged,low,high,none,0.1416,poc,173,high
network,low,low,required,unchanged,high,high,high,0.0121,high,147,high
network,low,none,required,changed,low,low,low,0.0332,unproven,177,medium
adjacent,low,low,none,unchanged,high,high,low,0.247,poc,187,high
adjacent,low,none,none,unchanged,low,high,low,0.0391,poc,438,high
physical,low,low,none,unchanged,low,high,high,0.058,poc,144,medium
network,low,none,none,unchanged,high,high,low,0.1713,unproven,7,high
physical,high,low,required,unchanged,none,high,none,0.0333,unproven,199,medium
network,low,high,required,unchanged,high,none,high,0.0905,unproven,110,medium
local,low,low,required,changed,low,none,low,0.0961,unproven,301,medium
network,low,low,none,unchanged,high,low,high,0.0907,high,196,high
network,high,none,none,unchanged,high,low,none,0.1466,functional,257,medium
network,low,none,none,unchanged,high,low,high,0.0986,poc,262,critical
network,low,high,none,unchanged,none,none,low,0.0607,unproven,293,low
local,high,none,none,unchanged,high,low,none,0.0238,unproven,397,medium
network,low,none,required,unchanged,none,high,none,0.1028,functional,147,medium
local,low,high,required,unchanged,low,high,low,0.125,poc,285,medium
local,low,low,none,changed,low,none,high,0.0573,functional,124,high
network,low,low,none,unchanged,low,high,none,0.0091,unproven,277,high
network,high,none,none,changed,low,none,low,0.1761,unproven,624,medium
network,low,none,none,unchanged,high,low,low,0.0839,unproven,209,high
adjacent,low,none,none,unchanged,low,low,high,0.2328,functional,162,high
adjacent,high,none,none,changed,none,low,low,0.0134,functional,343,low
network,low,high,none,unchanged,low,low,high,0.2532,high,228,medium
local,low,low,none,unchanged,none,none,high,0.1509,poc,908,medium
adjacent,low,low,required,unchanged,low,none,low,0.1274,unproven,189,low
network,low,low,none,unchanged,low,none,low,0.0325,unproven,36,medium
network,high,none,none,unchanged,high,high,high,0.1945,high,490,high
adjacent,low,high,required,unchanged,low,none,none,0.057,unproven,19,low
network,low,none,required,changed,high,high,none,0.1624,poc,72,critical
physical,low,none,required,changed,high,high,none,0.1797,high,241,high
network,high,low,none,unchanged,high,high,low,0.0934,unproven,304,high
adjacent,low,low,none,unchanged,low,high,low,0.0332,unproven,108,high
network,low,none,required,unchanged,low,high,low,0.1896,unproven,114,high
local,high,none,required,unchanged,high,none,none,0.0659,poc,162,medium
local,high,low,none,unchanged,low,high,none,0.3358,unproven,49,medium
network,low,none,none,unchanged,high,low,high,0.2503,poc,170,critical
network,low,none,none,unchanged,low,high,low,0.0131,unproven,428,high
local,low,low,none,unchanged,high,low,low,0.0947,unproven,150,medium
local,high,none,required,unchanged,none,none,none,0.1613,functional,82,low
adjacent,low,none,none,changed,high,none,high,0.0254,poc,498,high
network,high,none,required,unchanged,none,low,low,0.1335,poc,204,medium
local,low,low,required,unchanged,low,none,none,0.0963,unproven,63,low
adjacent,low,high,none,changed,high,high,high,0.1848,functional,169,high
local,low,low,none,unchanged,none,low,high,0.1818,functional,203,medium
local,high,none,required,unchanged,high,high,low,0.0862,poc,308,medium
local,high,none,required,unchanged,high,low,high,0.06,unproven,249,medium
network,high,none,none,changed,high,low,high,0.0338,unproven,416,high
network,high,none,none,unchanged,high,none,high,0.0239,unproven,148,high
network,high,low,required,changed,low,high,low,0.071,poc,507,medium
local,high,high,none,unchanged,high,high,low,0.0433,poc,379,medium
network,low,none,required,unchanged,none,none,high,0.1909,unproven,107,medium
adjacent,high,low,none,changed,none,high,none,0.005,poc,253,medium
local,low,none,none,unchanged,low,low,high,0.2478,unproven,337,high
network,high,none,required,unchanged,low,high,none,0.3229,unproven,149,medium
physical,low,none,none,unchanged,none,high,high,0.1756,poc,130,medium
network,low,none,none,unchanged,low,high,none,0.0309,poc,985,high
network,low,none,none,unchanged,high,low,high,0.0305,functional,102,critical
network,low,none,required,unchanged,low,high,high,0.1257,poc,186,high
local,low,low,none,changed,high,low,none,0.0552,poc,91,medium
network,low,low,none,unchanged,high,high,none,0.2766,functional,177,high
network,low,none,none,unchanged,low,high,none,0.0331,poc,100,high
network,low,high,none,unchanged,low,none,none,0.1691,poc,312,low
local,low,low,required,changed,high,low,high,0.0684,functional,185,high
adjacent,low,low,none,unchanged,none,none,low,0.0261,unproven,553,low
network,high,high,required,unchanged,high,low,none,0.2431,poc,53,medium
network,low,high,none,unchanged,none,low,high,0.0676,high,342,medium
network,high,none,none,unchanged,low,none,none,0.281,unproven,79,low
local,low,none,none,changed,low,low,low,0.0003,unproven,536,high
local,low,none,required,changed,none,none,none,0.0338,unproven,56,low
network,low,low,none,unchanged,high,high,low,0.0932,unproven,103,high
network,low,low,none,unchanged,none,high,low,0.1278,unproven,200,medium
network,low,low,required,unchanged,low,none,high,0.084,unproven,101,medium
physical,low,none,required,unchanged,high,none,high,0.1555,unproven,279,medium
network,low,none,none,unchanged,high,low,high,0.0377,functional,163,critical
local,low,low,none,unchanged,high,low,high,0.0757,unproven,66,high
adjacent,low,none,required,unchanged,none,low,low,0.318,poc,52,medium
network,high,high,required,unchanged,high,high,high,0.1111,functional,144,high
local,high,low,required,unchanged,low,high,high,0.1059,unproven,107,medium
local,low,high,none,unchanged,low,none,none,0.147,poc,454,low
network,low,low,none,unchanged,low,low,low,0.0213,unproven,109,medium
network,high,high,none,unchanged,high,high,low,0.0809,unproven,184,medium
local,high,none,required,unchanged,low,high,high,0.0227,unproven,103,medium
network,low,none,required,changed,high,low,high,0.0994,functional,127,critical
local,low,high,required,changed,none,low,high,0.1491,unproven,348,medium
adjacent,high,none,required,unchanged,low,none,high,0.098,unproven,562,medium
network,low,none,none,unchanged,low,high,high,0.1251,unproven,76,critical
network,low,high,none,changed,low,low,high,0.1753,high,56,high
local,high,none,required,unchanged,none,low,low,0.0452,unproven,87,low
network,low,high,required,unchanged,high,high,low,0.0401,unproven,177,medium
adjacent,low,high,required,unchanged,high,none,high,0.0994,unproven,65,medium
network,high,high,none,unchanged,high,high,low,0.1143,unproven,85,medium
network,high,high,required,unchanged,low,low,none,0.093,functional,232,low
local,high,none,required,unchanged,none,none,low,0.0431,unproven,425,low
local,low,low,required,unchanged,low,none,high,0.0091,unproven,71,medium
network,low,none,required,unchanged,high,high,low,0.1211,unproven,655,high
network,low,none,required,unchanged,high,low,high,0.0892,poc,102,high
local,high,low,none,unchanged,low,high,low,0.1679,unproven,355,medium
network,high,low,none,unchanged,high,low,none,0.0534,unproven,46,medium
local,high,low,none,unchanged,none,high,high,0.3258,functional,243,medium
local,low,low,required,unchanged,high,none,none,0.0942,unproven,365,medium
adjacent,high,low,required,changed,none,high,low,0.0224,functional,706,medium
network,low,none,required,unchanged,high,low,high,0.1612,high,257,high
network,high,low,none,unchanged,low,none,low,0.1988,unproven,269,low
local,low,high,required,unchanged,high,none,high,0.0849,unproven,521,medium
local,high,high,none,unchanged,high,low,low,0.3045,poc,600,medium
network,high,none,none,changed,low,low,low,0.0585,unproven,478,medium
local,low,high,none,unchanged,low,none,none,0.0729,high,172,low
network,high,low,required,unchanged,high,low,high,0.0785,poc,58,medium
network,high,high,none,unchanged,low,high,low,0.1583,poc,358,medium
network,low,low,none,unchanged,low,low,low,0.1641,high,118,medium
network,low,high,none,unchanged,none,low,none,0.0336,unproven,375,low
network,low,none,none,unchanged,low,high,low,0.2989,poc,291,high
network,low,none,required,unchanged,high,low,none,0.1292,unproven,439,medium
network,low,high,required,unchanged,none,low,none,0.0159,functional,403,low
network,low,none,none,unchanged,low,high,none,0.0697,poc,65,high
network,high,none,none,unchanged,none,low,high,0.1059,unproven,182,medium
physical,high,none,none,unchanged,none,high,high,0.2472,functional,347,medium
network,low,none,required,unchanged,low,high,none,0.0915,functional,305,high
network,low,none,required,unchanged,high,none,high,0.1201,unproven,178,high
network,high,high,required,unchanged,low,high,high,0.1746,unproven,151,medium
local,high,none,none,unchanged,high,high,high,0.1349,functional,263,medium
local,low,none,required,unchanged,low,none,none,0.065,unproven,462,low
physical,low,none,required,unchanged,high,low,high,0.0073,functional,904,medium
network,low,low,none,unchanged,high,low,none,0.0915,poc,71,high
local,high,none,none,unchanged,none,high,low,0.202,unproven,278,medium
network,low,low,required,changed,low,none,none,0.0223,high,36,low
network,low,none,required,changed,none,high,low,0.0869,functional,297,high
network,low,high,none,unchanged,high,high,high,0.0852,unproven,448,high
physical,low,low,none,unchanged,none,high,high,0.1304,functional,392,medium
local,high,low,none,unchanged,high,none,low,0.0466,unproven,524,medium
local,low,none,none,unchanged,none,low,none,0.1975,poc,247,medium
local,high,none,none,unchanged,low,low,high,0.0241,unproven,93,medium
network,low,none,none,unchanged,none,low,none,0.2271,unproven,252,medium
local,high,low,none,changed,high,high,high,0.199,functional,142,high
adjacent,low,low,required,unchanged,low,low,high,0.1192,unproven,107,medium
local,high,low,required,unchanged,low,low,high,0.1094,unproven,584,medium
network,low,low,none,changed,none,high,high,0.082,poc,92,critical
network,high,high,required,changed,none,high,high,0.1887,unproven,360,medium
network,low,none,none,unchanged,none,none,high,0.0384,unproven,589,high
local,low,low,none,unchanged,high,high,low,0.0338,unproven,124,medium
network,low,low,required,unchanged,high,low,low,0.0289,unproven,278,medium
adjacent,low,low,none,unchanged,low,low,high,0.0907,poc,583,medium
adjacent,low,none,required,changed,low,low,low,0.1103,poc,250,medium
adjacent,low,low,none,unchanged,high,high,high,0.2931,poc,403,high
network,high,high,required,unchanged,low,high,low,0.1233,high,105,medium
network,low,low,none,changed,high,high,high,0.1187,poc,134,critical
local,low,low,required,unchanged,low,high,none,0.0278,poc,272,medium
network,low,low,none,unchanged,none,high,none,0.2117,unproven,125,medium
local,low,none,none,changed,high,low,none,0.107,unproven,159,high
local,low,high,none,unchanged,high,low,high,0.1336,unproven,45,medium
local,low,low,none,changed,low,none,low,0.0807,high,147,medium
network,high,low,required,unchanged,high,high,low,0.0359,poc,169,medium
network,high,low,none,unchanged,high,high,none,0.1561,poc,185,medium
network,low,none,required,unchanged,low,high,high,0.1549,poc,93,high
physical,high,low,none,unchanged,high,low,high,0.062,poc,125,medium
network,low,high,none,unchanged,low,low,none,0.1631,functional,217,medium
